order_id,order_date,customer_id,segment,region,category,sub_category,product_id,quantity,sales,discount,profit,shipping_cost
ORD-001111,2024-01-02,CUST-00605,Corporate,Central,Technology,Accessories,SKU-TEC-354,4,269.31,0.0,42.13,26.82
ORD-004557,2024-01-03,CUST-00457,Corporate,Central,Technology,Laptops,SKU-TEC-706,2,384.76,0.1,83.15,35.6
ORD-002372,2024-01-03,CUST-00533,Corporate,South,Furniture,Chairs,SKU-FUR-917,3,281.04,0.1,39.1,15.46
ORD-005138,2024-01-03,CUST-00227,Consumer,Central,Office Supplies,Binders,SKU-OFF-681,5,301.5,0.1,61.51,28.02
ORD-001538,2024-01-03,CUST-00859,Consumer,North,Technology,Accessories,SKU-TEC-824,7,229.38,0.15,42.73,12.79
ORD-003880,2024-01-03,CUST-00236,Corporate,North,Technology,Accessories,SKU-TEC-933,2,268.82,0.15,28.51,22.33
ORD-005556,2024-01-03,CUST-00389,Consumer,South,Office Supplies,Labels,SKU-OFF-990,3,442.36,0.0,91.56,33.85
ORD-004257,2024-01-03,CUST-00567,Consumer,West,Furniture,Tables,SKU-FUR-551,4,462.17,0.05,-1.25,11.21
ORD-005202,2024-01-03,CUST-00124,Home Office,West,Furniture,Bookcases,SKU-FUR-369,6,340.45,0.05,-34.83,4.97
ORD-001356,2024-01-03,CUST-00137,Consumer,East,Office Supplies,Labels,SKU-OFF-596,1,357.13,0.05,103.39,28.06
ORD-003070,2024-01-04,CUST-01158,Home Office,East,Furniture,Tables,SKU-FUR-867,6,174.05,0.2,-8.0,38.72
ORD-001694,2024-01-04,CUST-00976,Corporate,South,Technology,Printers,SKU-TEC-951,5,430.75,0.0,42.43,37.46
ORD-003413,2024-01-04,CUST-01194,Home Office,North,Furniture,Storage,SKU-FUR-746,7,74.01,0.0,26.48,26.01
ORD-004281,2024-01-05,CUST-00731,Home Office,Central,Furniture,Bookcases,SKU-FUR-710,6,67.99,0.15,-7.42,39.78
ORD-005077,2024-01-05,CUST-00789,Consumer,Central,Technology,Printers,SKU-TEC-784,2,300.09,0.15,36.1,23.62
ORD-002022,2024-01-05,CUST-00037,Home Office,Central,Furniture,Chairs,SKU-FUR-285,5,231.3,0.15,20.97,22.72
ORD-005226,2024-01-05,CUST-01006,Corporate,Central,Office Supplies,Labels,SKU-OFF-736,4,183.19,0.15,4.57,9.85
ORD-001014,2024-01-06,CUST-01153,Consumer,West,Office Supplies,Binders,SKU-OFF-150,5,252.18,0.15,24.41,34.22
ORD-001978,2024-01-06,CUST-00660,Consumer,North,Technology,Laptops,SKU-TEC-106,1,233.52,0.15,7.61,8.02
ORD-002340,2024-01-06,CUST-01168,Consumer,East,Office Supplies,Labels,SKU-OFF-823,4,280.46,0.2,42.02,12.13
ORD-001742,2024-01-06,CUST-00198,Consumer,North,Technology,Laptops,SKU-TEC-384,6,588.52,0.05,205.49,32.39
ORD-003331,2024-01-06,CUST-00641,Corporate,North,Technology,Laptops,SKU-TEC-231,6,269.9,0.1,53.11,39.17
ORD-004554,2024-01-06,CUST-00744,Consumer,West,Technology,Printers,SKU-TEC-976,1,263.2,0.05,47.2,35.87
ORD-004461,2024-01-07,CUST-01000,Consumer,East,Technology,Phones,SKU-TEC-208,6,279.39,0.0,60.89,17.92
ORD-002996,2024-01-07,CUST-00017,Consumer,West,Office Supplies,Paper,SKU-OFF-927,2,128.28,0.15,15.46,27.59
ORD-003762,2024-01-07,CUST-00526,Consumer,East,Office Supplies,Art,SKU-OFF-342,1,65.33,0.0,10.46,34.8
ORD-000510,2024-01-07,CUST-00773,Consumer,Central,Technology,Laptops,SKU-TEC-202,7,597.23,0.1,63.76,14.16
ORD-002835,2024-01-07,CUST-00840,Corporate,Central,Technology,Laptops,SKU-TEC-362,4,179.54,0.0,26.68,34.62
ORD-005573,2024-01-07,CUST-01172,Home Office,West,Technology,Laptops,SKU-TEC-906,5,137.74,0.05,29.08,34.74
ORD-002082,2024-01-07,CUST-00640,Corporate,East,Office Supplies,Art,SKU-OFF-558,2,222.61,0.1,48.9,13.72
ORD-000752,2024-01-07,CUST-00936,Corporate,Central,Office Supplies,Binders,SKU-OFF-812,4,169.82,0.1,31.4,33.63
ORD-004610,2024-01-07,CUST-00679,Consumer,South,Furniture,Chairs,SKU-FUR-539,3,210.49,0.2,-10.8,13.22
ORD-000206,2024-01-07,CUST-01020,Corporate,East,Technology,Laptops,SKU-TEC-859,3,179.55,0.3,21.86,4.45
ORD-005518,2024-01-07,CUST-00784,Consumer,East,Technology,Accessories,SKU-TEC-786,7,254.07,0.0,85.19,6.39
ORD-000640,2024-01-08,CUST-00881,Corporate,Central,Office Supplies,Art,SKU-OFF-759,2,202.23,0.0,37.43,5.98
ORD-004273,2024-01-08,CUST-00021,Corporate,North,Office Supplies,Labels,SKU-OFF-474,2,91.83,0.1,11.76,42.69
ORD-000254,2024-01-09,CUST-00151,Corporate,South,Technology,Laptops,SKU-TEC-118,7,42.44,0.15,3.01,39.89
ORD-001473,2024-01-09,CUST-01106,Corporate,North,Furniture,Tables,SKU-FUR-270,7,310.95,0.0,95.91,11.4
ORD-002127,2024-01-09,CUST-00576,Consumer,Central,Office Supplies,Art,SKU-OFF-315,6,145.15,0.0,38.94,39.3
ORD-002912,2024-01-09,CUST-00865,Home Office,East,Office Supplies,Art,SKU-OFF-683,7,379.04,0.2,37.84,25.75
ORD-005023,2024-01-09,CUST-00556,Corporate,West,Technology,Printers,SKU-TEC-614,5,449.75,0.15,49.0,32.43
ORD-001078,2024-01-09,CUST-00813,Home Office,South,Technology,Accessories,SKU-TEC-310,3,257.27,0.0,84.67,26.22
ORD-002679,2024-01-10,CUST-00006,Consumer,West,Technology,Accessories,SKU-TEC-653,4,219.29,0.05,72.53,13.81
ORD-003919,2024-01-10,CUST-00388,Corporate,West,Technology,Laptops,SKU-TEC-704,2,243.93,0.15,42.1,17.09
ORD-005834,2024-01-10,CUST-00487,Consumer,North,Furniture,Storage,SKU-FUR-765,3,302.18,0.1,33.92,34.73
ORD-002002,2024-01-10,CUST-00151,Corporate,West,Furniture,Storage,SKU-FUR-110,2,414.29,0.15,-30.88,26.73
ORD-005148,2024-01-10,CUST-00337,Consumer,East,Office Supplies,Binders,SKU-OFF-750,3,94.25,0.2,9.16,26.98
ORD-003246,2024-01-10,CUST-01170,Corporate,South,Furniture,Tables,SKU-FUR-652,1,345.64,0.1,15.36,41.76
ORD-005419,2024-01-10,CUST-00405,Consumer,Central,Technology,Accessories,SKU-TEC-705,7,644.81,0.0,127.78,9.84
ORD-003561,2024-01-10,CUST-00642,Home Office,South,Office Supplies,Paper,SKU-OFF-102,7,210.31,0.0,38.44,17.13
ORD-005953,2024-01-10,CUST-00947,Corporate,West,Technology,Printers,SKU-TEC-872,1,194.74,0.15,30.46,16.65
ORD-003335,2024-01-11,CUST-00161,Consumer,East,Office Supplies,Labels,SKU-OFF-422,7,415.5,0.05,45.29,43.43
ORD-004527,2024-01-11,CUST-00384,Consumer,East,Technology,Phones,SKU-TEC-986,2,269.23,0.2,41.97,34.32
ORD-003094,2024-01-11,CUST-00417,Consumer,South,Technology,Phones,SKU-TEC-200,5,326.81,0.0,50.67,21.12
ORD-005803,2024-01-11,CUST-00286,Corporate,East,Technology,Printers,SKU-TEC-767,6,134.6,0.1,21.18,12.11
ORD-000281,2024-01-11,CUST-00573,Consumer,North,Technology,Phones,SKU-TEC-305,4,154.89,0.0,17.13,35.3
ORD-000580,2024-01-11,CUST-00916,Consumer,North,Technology,Phones,SKU-TEC-422,1,105.03,0.0,35.61,29.05
ORD-002480,2024-01-11,CUST-00609,Corporate,North,Technology,Printers,SKU-TEC-727,4,200.47,0.15,17.53,15.52
ORD-005394,2024-01-12,CUST-01044,Consumer,Central,Furniture,Tables,SKU-FUR-792,3,114.19,0.1,16.47,7.48
ORD-001673,2024-01-12,CUST-00114,Corporate,North,Office Supplies,Paper,SKU-OFF-511,2,168.2,0.05,34.75,8.23
ORD-002460,2024-01-12,CUST-00119,Consumer,East,Office Supplies,Binders,SKU-OFF-983,7,256.77,0.0,23.84,20.97
ORD-001573,2024-01-12,CUST-00975,Consumer,Central,Technology,Accessories,SKU-TEC-758,5,207.66,0.3,4.54,12.43
ORD-003312,2024-01-12,CUST-01034,Consumer,Central,Furniture,Tables,SKU-FUR-617,7,159.38,0.0,8.79,18.13
ORD-001737,2024-01-12,CUST-01037,Corporate,Central,Furniture,Tables,SKU-FUR-807,2,439.64,0.1,19.81,27.34
ORD-001430,2024-01-12,CUST-00712,Consumer,Central,Technology,Laptops,SKU-TEC-311,3,195.71,0.0,57.47,21.67
ORD-000327,2024-01-12,CUST-00329,Consumer,South,Technology,Phones,SKU-TEC-285,1,218.86,0.1,31.24,11.31
ORD-001655,2024-01-12,CUST-00131,Consumer,North,Technology,Laptops,SKU-TEC-330,1,325.64,0.0,73.92,20.01
ORD-000633,2024-01-13,CUST-00332,Corporate,East,Furniture,Chairs,SKU-FUR-530,6,540.28,0.05,95.52,40.78
ORD-002070,2024-01-13,CUST-00918,Consumer,South,Furniture,Tables,SKU-FUR-917,6,490.9,0.0,-7.52,28.58
ORD-002332,2024-01-13,CUST-00029,Corporate,Central,Office Supplies,Labels,SKU-OFF-705,5,76.55,0.1,4.85,42.25
ORD-002556,2024-01-13,CUST-00564,Corporate,South,Technology,Printers,SKU-TEC-993,4,253.65,0.05,11.24,18.38
ORD-001407,2024-01-13,CUST-00333,Consumer,South,Furniture,Storage,SKU-FUR-677,6,117.99,0.0,15.25,30.64
ORD-000962,2024-01-13,CUST-00643,Consumer,South,Furniture,Storage,SKU-FUR-109,3,127.5,0.0,10.26,8.81
ORD-001349,2024-01-13,CUST-00946,Home Office,West,Office Supplies,Art,SKU-OFF-779,7,110.99,0.3,-3.9,4.69
ORD-004532,2024-01-14,CUST-00625,Consumer,South,Technology,Printers,SKU-TEC-469,6,201.27,0.05,50.73,5.17
ORD-001487,2024-01-14,CUST-00515,Consumer,South,Technology,Laptops,SKU-TEC-347,6,250.03,0.3,-6.14,14.85
ORD-000195,2024-01-14,CUST-00112,Corporate,North,Technology,Printers,SKU-TEC-213,5,312.24,0.05,79.85,24.81
ORD-002866,2024-01-14,CUST-00479,Corporate,West,Office Supplies,Art,SKU-OFF-943,2,103.2,0.0,13.9,25.84
ORD-003408,2024-01-14,CUST-01129,Corporate,West,Furniture,Tables,SKU-FUR-930,5,178.38,0.0,0.63,11.78
ORD-003190,2024-01-14,CUST-00256,Corporate,East,Office Supplies,Art,SKU-OFF-663,7,65.3,0.05,12.17,10.06
ORD-000328,2024-01-15,CUST-01009,Corporate,North,Technology,Accessories,SKU-TEC-299,1,315.24,0.1,69.58,21.67
ORD-002948,2024-01-15,CUST-00305,Consumer,South,Technology,Accessories,SKU-TEC-345,6,345.44,0.05,62.27,15.11
ORD-003028,2024-01-15,CUST-00256,Home Office,West,Office Supplies,Art,SKU-OFF-864,2,491.76,0.0,93.21,39.38
ORD-005539,2024-01-15,CUST-00847,Corporate,North,Technology,Accessories,SKU-TEC-504,2,193.87,0.15,15.65,29.51
ORD-002491,2024-01-15,CUST-00034,Consumer,East,Technology,Printers,SKU-TEC-452,2,182.92,0.1,20.96,11.01
ORD-003098,2024-01-16,CUST-00360,Corporate,Central,Technology,Printers,SKU-TEC-953,2,145.75,0.0,41.62,7.06
ORD-005140,2024-01-16,CUST-00245,Consumer,East,Office Supplies,Binders,SKU-OFF-403,6,234.66,0.15,34.2,41.71
ORD-002650,2024-01-16,CUST-00905,Home Office,North,Office Supplies,Labels,SKU-OFF-322,7,67.01,0.05,12.11,29.69
ORD-005642,2024-01-16,CUST-01134,Consumer,West,Furniture,Bookcases,SKU-FUR-237,1,222.49,0.0,26.84,24.14
ORD-002978,2024-01-16,CUST-00107,Consumer,West,Furniture,Bookcases,SKU-FUR-654,7,291.04,0.1,-2.94,15.55
ORD-000637,2024-01-16,CUST-01152,Corporate,Central,Furniture,Tables,SKU-FUR-629,4,349.83,0.0,12.44,35.36
ORD-001481,2024-01-17,CUST-00655,Home Office,South,Office Supplies,Art,SKU-OFF-814,3,197.56,0.0,42.07,40.21
ORD-001146,2024-01-17,CUST-01182,Consumer,North,Technology,Printers,SKU-TEC-718,2,289.52,0.1,18.85,22.49
ORD-000823,2024-01-17,CUST-00786,Consumer,South,Office Supplies,Labels,SKU-OFF-745,6,165.86,0.15,4.25,26.76
ORD-003208,2024-01-17,CUST-01121,Corporate,South,Technology,Phones,SKU-TEC-169,1,349.88,0.0,104.08,4.66
ORD-004690,2024-01-17,CUST-00211,Consumer,South,Technology,Accessories,SKU-TEC-364,1,394.05,0.0,95.36,14.21
ORD-004239,2024-01-17,CUST-00906,Consumer,Central,Office Supplies,Binders,SKU-OFF-340,3,133.07,0.1,-8.19,15.63
ORD-005395,2024-01-17,CUST-00445,Consumer,South,Furniture,Chairs,SKU-FUR-679,5,389.73,0.0,200.59,24.37
ORD-001593,2024-01-17,CUST-01160,Home Office,North,Office Supplies,Paper,SKU-OFF-176,4,354.29,0.0,72.75,17.47
ORD-005591,2024-01-17,CUST-00018,Corporate,North,Furniture,Storage,SKU-FUR-510,1,200.79,0.0,47.05,29.98
ORD-003823,2024-01-17,CUST-00508,Home Office,North,Furniture,Bookcases,SKU-FUR-207,3,346.94,0.15,61.71,21.78
ORD-003421,2024-01-17,CUST-00164,Corporate,South,Technology,Accessories,SKU-TEC-822,5,375.26,0.2,28.27,32.82
ORD-005125,2024-01-17,CUST-00530,Consumer,West,Furniture,Chairs,SKU-FUR-726,3,354.19,0.15,27.15,19.16
ORD-001776,2024-01-17,CUST-01174,Consumer,West,Office Supplies,Paper,SKU-OFF-925,1,391.43,0.2,96.05,31.76
ORD-005894,2024-01-17,CUST-00126,Corporate,West,Technology,Accessories,SKU-TEC-981,4,173.88,0.0,51.76,33.92
ORD-001606,2024-01-18,CUST-01183,Consumer,North,Furniture,Storage,SKU-FUR-703,7,244.93,0.15,35.72,13.52
ORD-005719,2024-01-18,CUST-00624,Corporate,East,Furniture,Tables,SKU-FUR-278,2,50.52,0.1,-5.81,5.08
ORD-005161,2024-01-18,CUST-00509,Consumer,Central,Technology,Accessories,SKU-TEC-969,5,272.7,0.15,29.21,16.51
ORD-000504,2024-01-18,CUST-01124,Corporate,South,Office Supplies,Paper,SKU-OFF-612,1,242.53,0.15,37.18,30.49
ORD-001912,2024-01-18,CUST-00993,Corporate,South,Technology,Accessories,SKU-TEC-578,1,407.48,0.05,7.09,25.52
ORD-001214,2024-01-18,CUST-00388,Home Office,West,Technology,Laptops,SKU-TEC-844,3,146.35,0.05,24.59,27.98
ORD-005217,2024-01-18,CUST-00835,Consumer,East,Technology,Accessories,SKU-TEC-126,2,159.17,0.05,41.65,30.06
ORD-002258,2024-01-18,CUST-00057,Corporate,South,Office Supplies,Binders,SKU-OFF-494,4,193.8,0.0,29.39,42.09
ORD-000467,2024-01-18,CUST-00429,Consumer,Central,Technology,Phones,SKU-TEC-691,3,344.15,0.3,-3.36,34.0
ORD-003112,2024-01-19,CUST-01151,Consumer,West,Office Supplies,Paper,SKU-OFF-402,3,58.9,0.05,4.94,26.51
ORD-003851,2024-01-19,CUST-01170,Consumer,North,Office Supplies,Labels,SKU-OFF-950,7,506.7,0.0,104.51,21.31
ORD-001360,2024-01-19,CUST-00553,Consumer,West,Furniture,Bookcases,SKU-FUR-959,7,362.33,0.0,84.55,33.46
ORD-002371,2024-01-19,CUST-01197,Consumer,West,Technology,Accessories,SKU-TEC-284,3,496.28,0.0,129.8,28.73
ORD-003711,2024-01-19,CUST-00053,Consumer,Central,Furniture,Bookcases,SKU-FUR-337,4,226.53,0.0,31.66,17.69
ORD-000233,2024-01-19,CUST-00466,Corporate,East,Technology,Printers,SKU-TEC-737,1,462.01,0.05,113.49,40.59
ORD-003452,2024-01-19,CUST-00266,Consumer,North,Technology,Laptops,SKU-TEC-704,1,138.16,0.2,9.84,10.62
ORD-005900,2024-01-19,CUST-01042,Consumer,North,Office Supplies,Art,SKU-OFF-838,5,199.04,0.0,46.02,12.38
ORD-004648,2024-01-19,CUST-00548,Corporate,North,Furniture,Storage,SKU-FUR-762,5,286.46,0.05,26.38,12.73
ORD-001161,2024-01-19,CUST-00153,Corporate,North,Furniture,Tables,SKU-FUR-220,3,201.55,0.15,-7.59,15.14
ORD-001504,2024-01-19,CUST-00533,Consumer,East,Furniture,Tables,SKU-FUR-345,7,279.49,0.1,4.15,36.1
ORD-000786,2024-01-19,CUST-00039,Consumer,Central,Furniture,Chairs,SKU-FUR-147,5,111.22,0.1,4.41,6.04
ORD-002206,2024-01-20,CUST-00324,Consumer,Central,Furniture,Chairs,SKU-FUR-460,4,113.25,0.2,-8.61,5.53
ORD-002634,2024-01-20,CUST-00623,Consumer,Central,Technology,Printers,SKU-TEC-473,7,375.89,0.1,42.9,29.46
ORD-004883,2024-01-20,CUST-00404,Home Office,North,Office Supplies,Art,SKU-OFF-121,2,329.61,0.15,49.55,5.64
ORD-001774,2024-01-20,CUST-00434,Home Office,South,Office Supplies,Labels,SKU-OFF-698,3,471.39,0.15,32.54,32.45
ORD-003292,2024-01-21,CUST-00657,Consumer,South,Technology,Accessories,SKU-TEC-740,5,190.59,0.1,31.88,42.39
ORD-004944,2024-01-21,CUST-00456,Corporate,West,Technology,Accessories,SKU-TEC-269,7,263.44,0.2,16.36,31.32
ORD-002882,2024-01-21,CUST-00938,Consumer,West,Technology,Laptops,SKU-TEC-600,5,152.67,0.05,51.9,10.21
ORD-001496,2024-01-21,CUST-00256,Corporate,Central,Furniture,Storage,SKU-FUR-132,4,145.85,0.0,2.71,14.05
ORD-005239,2024-01-21,CUST-00260,Corporate,East,Technology,Phones,SKU-TEC-515,5,292.99,0.15,66.68,17.31
ORD-004600,2024-01-21,CUST-00969,Consumer,Central,Furniture,Bookcases,SKU-FUR-167,7,245.98,0.0,14.8,4.76
ORD-003130,2024-01-22,CUST-00379,Corporate,South,Office Supplies,Art,SKU-OFF-743,5,570.19,0.0,190.41,24.88
ORD-005365,2024-01-22,CUST-00230,Consumer,North,Furniture,Bookcases,SKU-FUR-729,5,89.66,0.0,9.4,10.56
ORD-003147,2024-01-22,CUST-00906,Consumer,West,Technology,Phones,SKU-TEC-479,6,378.84,0.1,34.54,19.08
ORD-001939,2024-01-22,CUST-00058,Home Office,West,Furniture,Tables,SKU-FUR-629,2,175.37,0.0,49.63,28.73
ORD-003973,2024-01-22,CUST-01163,Consumer,East,Office Supplies,Paper,SKU-OFF-810,2,340.35,0.15,54.84,44.55
ORD-005391,2024-01-22,CUST-00116,Consumer,North,Technology,Phones,SKU-TEC-582,7,638.04,0.0,135.48,11.88
ORD-001796,2024-01-22,CUST-00041,Consumer,East,Technology,Laptops,SKU-TEC-791,1,203.81,0.05,19.77,39.1
ORD-004089,2024-01-22,CUST-00963,Home Office,South,Technology,Phones,SKU-TEC-544,4,351.17,0.0,82.94,40.6
ORD-001976,2024-01-22,CUST-01049,Consumer,South,Technology,Accessories,SKU-TEC-968,1,188.2,0.0,49.03,41.55
ORD-005111,2024-01-22,CUST-00004,Consumer,North,Furniture,Tables,SKU-FUR-205,4,247.52,0.15,-1.57,11.28
ORD-003743,2024-01-23,CUST-00176,Corporate,Central,Office Supplies,Binders,SKU-OFF-471,7,156.76,0.0,22.17,10.1
ORD-000127,2024-01-23,CUST-00610,Consumer,South,Office Supplies,Labels,SKU-OFF-994,1,367.47,0.0,72.24,23.6
ORD-003240,2024-01-23,CUST-00042,Corporate,West,Technology,Phones,SKU-TEC-919,3,159.0,0.0,25.73,42.17
ORD-002310,2024-01-23,CUST-00491,Consumer,South,Furniture,Tables,SKU-FUR-202,3,306.99,0.0,115.8,36.7
ORD-003569,2024-01-23,CUST-00539,Corporate,West,Office Supplies,Art,SKU-OFF-669,6,205.56,0.0,19.0,41.13
ORD-000283,2024-01-23,CUST-00755,Consumer,North,Office Supplies,Paper,SKU-OFF-181,1,197.58,0.0,36.13,18.46
ORD-001212,2024-01-23,CUST-00578,Home Office,South,Office Supplies,Labels,SKU-OFF-635,7,238.68,0.0,67.99,39.38
ORD-001357,2024-01-23,CUST-00856,Home Office,West,Technology,Accessories,SKU-TEC-946,1,499.92,0.0,53.12,20.01
ORD-000908,2024-01-23,CUST-00539,Consumer,South,Technology,Phones,SKU-TEC-304,6,221.17,0.05,62.52,11.87
ORD-001566,2024-01-23,CUST-00541,Consumer,South,Office Supplies,Paper,SKU-OFF-979,5,191.55,0.0,41.48,35.98
ORD-003477,2024-01-23,CUST-00197,Consumer,East,Furniture,Chairs,SKU-FUR-166,7,644.02,0.05,98.04,28.69
ORD-004079,2024-01-23,CUST-00893,Consumer,East,Office Supplies,Labels,SKU-OFF-183,3,75.07,0.15,10.54,20.31
ORD-002428,2024-01-23,CUST-00232,Consumer,South,Technology,Accessories,SKU-TEC-838,3,185.71,0.2,36.14,16.19
ORD-005013,2024-01-24,CUST-00101,Consumer,East,Office Supplies,Labels,SKU-OFF-126,2,103.12,0.2,5.52,30.08
ORD-002533,2024-01-24,CUST-00607,Home Office,Central,Furniture,Chairs,SKU-FUR-509,4,140.81,0.3,-14.27,44.82
ORD-005637,2024-01-24,CUST-01184,Consumer,South,Technology,Accessories,SKU-TEC-417,3,270.51,0.0,63.51,28.36
ORD-003127,2024-01-24,CUST-00096,Corporate,South,Technology,Phones,SKU-TEC-913,6,263.3,0.1,45.23,19.39
ORD-005430,2024-01-24,CUST-00542,Home Office,West,Office Supplies,Binders,SKU-OFF-213,4,86.7,0.05,16.81,8.95
ORD-001043,2024-01-24,CUST-00620,Consumer,East,Office Supplies,Art,SKU-OFF-394,1,143.72,0.0,11.34,39.68
ORD-004556,2024-01-25,CUST-00763,Corporate,West,Furniture,Tables,SKU-FUR-217,5,205.47,0.1,10.52,20.85
ORD-005505,2024-01-25,CUST-01074,Consumer,North,Office Supplies,Binders,SKU-OFF-129,2,117.2,0.1,23.23,41.35
ORD-003341,2024-01-25,CUST-00386,Consumer,South,Furniture,Storage,SKU-FUR-669,6,126.26,0.0,20.44,8.93
ORD-002306,2024-01-25,CUST-01137,Consumer,South,Furniture,Bookcases,SKU-FUR-686,7,108.92,0.05,2.33,12.13
ORD-001041,2024-01-25,CUST-00125,Consumer,North,Office Supplies,Paper,SKU-OFF-115,6,181.67,0.1,7.26,21.61
ORD-004271,2024-01-25,CUST-01073,Consumer,East,Technology,Printers,SKU-TEC-489,1,601.71,0.0,45.68,13.68
ORD-000291,2024-01-25,CUST-00345,Home Office,East,Technology,Phones,SKU-TEC-929,5,235.0,0.0,62.04,12.31
ORD-003524,2024-01-25,CUST-00385,Corporate,East,Technology,Laptops,SKU-TEC-368,1,341.64,0.2,51.74,8.69
ORD-005075,2024-01-26,CUST-01171,Consumer,East,Technology,Laptops,SKU-TEC-264,1,611.34,0.0,94.89,6.91
ORD-003506,2024-01-26,CUST-00134,Consumer,West,Furniture,Tables,SKU-FUR-334,1,115.2,0.05,41.41,31.29
ORD-002803,2024-01-26,CUST-00741,Consumer,North,Technology,Accessories,SKU-TEC-145,3,131.64,0.2,14.13,13.81
ORD-005293,2024-01-26,CUST-00068,Consumer,South,Technology,Laptops,SKU-TEC-981,3,156.51,0.0,34.42,33.13
ORD-001336,2024-01-26,CUST-01021,Consumer,Central,Technology,Laptops,SKU-TEC-465,4,434.86,0.0,96.48,18.54
ORD-002885,2024-01-26,CUST-00409,Corporate,South,Technology,Laptops,SKU-TEC-537,3,553.98,0.0,194.72,32.32
ORD-001397,2024-01-26,CUST-00213,Consumer,West,Office Supplies,Paper,SKU-OFF-657,3,226.24,0.0,60.13,37.74
ORD-005816,2024-01-26,CUST-00245,Corporate,West,Furniture,Bookcases,SKU-FUR-932,7,145.08,0.0,65.51,32.56
ORD-001885,2024-01-27,CUST-00325,Corporate,West,Technology,Phones,SKU-TEC-929,2,148.0,0.05,31.4,4.78
ORD-000693,2024-01-27,CUST-00153,Consumer,Central,Furniture,Storage,SKU-FUR-212,2,220.62,0.05,50.75,21.4
ORD-005940,2024-01-27,CUST-00642,Corporate,South,Technology,Accessories,SKU-TEC-807,3,119.63,0.0,15.68,42.22
ORD-002898,2024-01-27,CUST-00747,Corporate,East,Furniture,Chairs,SKU-FUR-887,2,364.54,0.0,61.9,29.56
ORD-002773,2024-01-27,CUST-00237,Consumer,South,Furniture,Storage,SKU-FUR-966,3,399.59,0.1,9.19,26.28
ORD-001747,2024-01-27,CUST-00629,Consumer,Central,Office Supplies,Binders,SKU-OFF-343,5,51.73,0.2,10.72,35.98
ORD-001517,2024-01-27,CUST-01066,Consumer,West,Furniture,Chairs,SKU-FUR-264,4,200.15,0.2,12.33,17.63
ORD-003560,2024-01-28,CUST-01059,Corporate,South,Technology,Phones,SKU-TEC-703,1,276.37,0.0,65.6,39.0
ORD-000889,2024-01-28,CUST-00373,Corporate,East,Technology,Printers,SKU-TEC-794,4,373.48,0.0,71.49,4.75
ORD-003575,2024-01-28,CUST-00878,Consumer,Central,Furniture,Storage,SKU-FUR-701,6,787.33,0.15,227.28,42.42
ORD-000734,2024-01-28,CUST-00892,Consumer,North,Technology,Accessories,SKU-TEC-163,2,148.28,0.1,51.1,4.31
ORD-000733,2024-01-28,CUST-00986,Corporate,Central,Technology,Phones,SKU-TEC-773,6,34.41,0.3,3.81,30.32
ORD-000840,2024-01-28,CUST-00476,Consumer,West,Technology,Accessories,SKU-TEC-882,3,763.18,0.05,108.6,34.52
ORD-000677,2024-01-28,CUST-01165,Home Office,North,Office Supplies,Paper,SKU-OFF-345,4,226.87,0.05,42.59,17.51
ORD-001585,2024-01-28,CUST-00260,Consumer,North,Technology,Laptops,SKU-TEC-996,1,295.63,0.15,8.67,8.1
ORD-003410,2024-01-29,CUST-01159,Corporate,West,Furniture,Tables,SKU-FUR-528,1,187.1,0.15,-28.39,18.79
